City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jacareacanga,0,BR,1528902000,62,-6.22,-57.76,89.6,6.93
1,kaitangata,100,NZ,1528905304,94,-46.28,169.85,42.61,5.64
2,goulburn,20,AU,1528905078,91,-34.75,149.72,44.32,10.11
3,lata,76,IN,1528905305,89,30.78,78.62,59.89,0.94
4,chokurdakh,0,RU,1528905306,88,70.62,147.9,32.17,2.95
5,martyush,92,RU,1528905306,94,56.4,61.89,55.03,9.33
6,hobart,20,AU,1528902000,87,-42.88,147.33,44.6,8.05
7,broken hill,0,AU,1528905311,88,-31.97,141.45,44.5,7.31
8,harnosand,0,SE,1528903200,44,62.63,17.94,60.8,13.87
9,tuatapere,0,NZ,1528905312,100,-46.13,167.69,38.92,3.4
10,puerto ayora,90,EC,1528902000,69,-0.74,-90.35,77,13.87
11,havre-saint-pierre,75,CA,1528902000,58,50.23,-63.6,53.6,19.46
12,punta arenas,0,CL,1528902000,100,-53.16,-70.91,35.6,9.17
13,tasiilaq,75,GL,1528901400,60,65.61,-37.64,39.2,2.24
14,chapais,40,CA,1528902000,38,49.78,-74.86,59,10.29
15,avarua,40,CK,1528902000,56,-21.21,-159.78,73.4,10.29
